Time,0,153 Green Algae,137 Smallmouth Bass,269
600,Independent chance,0.36,0.51,
700,Independent chance,0.36,0.51,
800,Independent chance,0.36,0.51,
900,Independent chance,0.36,0.51,
1000,Independent chance,0.36,0.51,
1100,Independent chance,0.36,0.51,
1200,Independent chance,0.36,0.51,
1300,Independent chance,0.36,0.51,
1400,Independent chance,0.36,0.51,
1500,Independent chance,0.36,0.51,
1600,Independent chance,0.36,0.51,
1700,Independent chance,0.36,0.51,
1800,Independent chance,0.36,0.51,
1900,Independent chance,0.36,0.51,
2000,Independent chance,0.36,0.51,
2100,Independent chance,0.36,0.51,
2200,Independent chance,0.36,0.51,
2300,Independent chance,0.36,0.51,
0,Independent chance,0.36,0.51,
100,Independent chance,0.36,0.51,