Time,0,153 Green Algae,144 Pike
0,Independent chance,0,0
100,Independent chance,0,0
200,Independent chance,0,0
300,Independent chance,0,0
400,Independent chance,0,0
500,Independent chance,0,0
600,Independent chance,0.36,0.46
700,Independent chance,0.36,0.46
800,Independent chance,0.36,0.46
900,Independent chance,0.36,0.46
1000,Independent chance,0.36,0.46
1100,Independent chance,0.36,0.46
1200,Independent chance,0.36,0.46
1300,Independent chance,0.36,0.46
1400,Independent chance,0.36,0.46
1500,Independent chance,0.36,0.46
1600,Independent chance,0.36,0.46
1700,Independent chance,0.36,0.46
1800,Independent chance,0.36,0.46
1900,Independent chance,0.36,0.46
2000,Independent chance,0.36,0.46
2100,Independent chance,0.36,0.46
2200,Independent chance,0.36,0.46
2300,Independent chance,0.36,0.46