Time,0,136 Largemouth Bass,140 Walleye,142 Carp,153 Green Algae,702 Chub,700 Bullhead,269 Midnight Carp
600,Independent chance,0.4,0,0.45,0.3,0.45,0.35,0
700,Independent chance,0.4,0,0.45,0.3,0.45,0.35,0
800,Independent chance,0.4,0,0.45,0.3,0.45,0.35,0
900,Independent chance,0.4,0,0.45,0.3,0.45,0.35,0
1000,Independent chance,0.4,0,0.45,0.3,0.45,0.35,0
1100,Independent chance,0.4,0,0.45,0.3,0.45,0.35,0
1200,Independent chance,0.4,0,0.45,0.3,0.45,0.35,0
1300,Independent chance,0.4,0,0.45,0.3,0.45,0.35,0
1400,Independent chance,0.4,0,0.45,0.3,0.45,0.35,0
1500,Independent chance,0.4,0,0.45,0.3,0.45,0.35,0
1600,Independent chance,0.4,0,0.45,0.3,0.45,0.35,0
1700,Independent chance,0.4,0,0.45,0.3,0.45,0.35,0
1800,Independent chance,0.4,0,0.45,0.3,0.45,0.35,0
1900,Independent chance,0,0,0.45,0.3,0.45,0.35,0
2000,Independent chance,0,0,0.45,0.3,0.45,0.35,0
2100,Independent chance,0,0,0.45,0.3,0.45,0.35,0
2200,Independent chance,0,0,0.45,0.3,0.45,0.35,0.33
2300,Independent chance,0,0,0.45,0.3,0.45,0.35,0.33
0,Independent chance,0,0,0.45,0.3,0.45,0.35,0.33
100,Independent chance,0,0,0.45,0.3,0.45,0.35,0.33