Time,0,136 -1 Largemouth Bass,142 -1 Carp,153 -1 Green Algae,700 -1 Bullhead,702 -1 Chub
600,Independent chance,0.24,0.45,0.3,0.27999999999999997,0.45
700,Independent chance,0.24,0.45,0.3,0.27999999999999997,0.45
800,Independent chance,0.24,0.45,0.3,0.27999999999999997,0.45
900,Independent chance,0.24,0.45,0.3,0.27999999999999997,0.45
1000,Independent chance,0.24,0.45,0.3,0.27999999999999997,0.45
1100,Independent chance,0.24,0.45,0.3,0.27999999999999997,0.45
1200,Independent chance,0.24,0.45,0.3,0.27999999999999997,0.45
1300,Independent chance,0.24,0.45,0.3,0.27999999999999997,0.45
1400,Independent chance,0.24,0.45,0.3,0.27999999999999997,0.45
1500,Independent chance,0.24,0.45,0.3,0.27999999999999997,0.45
1600,Independent chance,0.24,0.45,0.3,0.27999999999999997,0.45
1700,Independent chance,0.24,0.45,0.3,0.27999999999999997,0.45
1800,Independent chance,0.24,0.45,0.3,0.27999999999999997,0.45
1900,Independent chance,0,0.45,0.3,0.27999999999999997,0.45
2000,Independent chance,0,0.45,0.3,0.27999999999999997,0.45
2100,Independent chance,0,0.45,0.3,0.27999999999999997,0.45
2200,Independent chance,0,0.45,0.3,0.27999999999999997,0.45
2300,Independent chance,0,0.45,0.3,0.27999999999999997,0.45
0,Independent chance,0,0.45,0.3,0.27999999999999997,0.45
100,Independent chance,0,0.45,0.3,0.27999999999999997,0.45