Time,0,136 "Largemouth Bass,142 "Carp,153 "Green Algae,138 "Rainbow Trout,702 "Chub,700 "Bullhead,698 "Sturgeon
600,Independent chance,0.42000000000000004,0.47000000000000003,0.32,0.37,0.47000000000000003,0.37,0.37
700,Independent chance,0.42000000000000004,0.47000000000000003,0.32,0.37,0.47000000000000003,0.37,0.37
800,Independent chance,0.42000000000000004,0.47000000000000003,0.32,0.37,0.47000000000000003,0.37,0.37
900,Independent chance,0.42000000000000004,0.47000000000000003,0.32,0.37,0.47000000000000003,0.37,0.37
1000,Independent chance,0.42000000000000004,0.47000000000000003,0.32,0.37,0.47000000000000003,0.37,0.37
1100,Independent chance,0.42000000000000004,0.47000000000000003,0.32,0.37,0.47000000000000003,0.37,0.37
1200,Independent chance,0.42000000000000004,0.47000000000000003,0.32,0.37,0.47000000000000003,0.37,0.37
1300,Independent chance,0.42000000000000004,0.47000000000000003,0.32,0.37,0.47000000000000003,0.37,0.37
1400,Independent chance,0.42000000000000004,0.47000000000000003,0.32,0.37,0.47000000000000003,0.37,0.37
1500,Independent chance,0.42000000000000004,0.47000000000000003,0.32,0.37,0.47000000000000003,0.37,0.37
1600,Independent chance,0.42000000000000004,0.47000000000000003,0.32,0.37,0.47000000000000003,0.37,0.37
1700,Independent chance,0.42000000000000004,0.47000000000000003,0.32,0.37,0.47000000000000003,0.37,0.37
1800,Independent chance,0.42000000000000004,0.47000000000000003,0.32,0.37,0.47000000000000003,0.37,0.37
1900,Independent chance,0,0.47000000000000003,0.32,0,0.47000000000000003,0.37,0
2000,Independent chance,0,0.47000000000000003,0.32,0,0.47000000000000003,0.37,0
2100,Independent chance,0,0.47000000000000003,0.32,0,0.47000000000000003,0.37,0
2200,Independent chance,0,0.47000000000000003,0.32,0,0.47000000000000003,0.37,0
2300,Independent chance,0,0.47000000000000003,0.32,0,0.47000000000000003,0.37,0
0,Independent chance,0,0.47000000000000003,0.32,0,0.47000000000000003,0.37,0
100,Independent chance,0,0.47000000000000003,0.32,0,0.47000000000000003,0.37,0