Time,0,129 Anchovy,131 Sardine,148 Eel,150 Red Snapper,152 Seaweed,154 Sea Cucumber,155 Super Cucumber,705 Albacore,705 Albacore,701 Tilapia
600,Independent chance,0.33,0.73,0,0.48500000000000004,0.38,0.20500000000000002,0,0.29,0,0.32
700,Independent chance,0.33,0.73,0,0.48500000000000004,0.38,0.20500000000000002,0,0.29,0,0.32
800,Independent chance,0.33,0.73,0,0.48500000000000004,0.38,0.20500000000000002,0,0.29,0,0.32
900,Independent chance,0.33,0.73,0,0.48500000000000004,0.38,0.20500000000000002,0,0.29,0,0.32
1000,Independent chance,0.33,0.73,0,0.48500000000000004,0.38,0.20500000000000002,0,0.29,0,0.32
1100,Independent chance,0.33,0.73,0,0.48500000000000004,0.38,0.20500000000000002,0,0,0,0.32
1200,Independent chance,0.33,0.73,0,0.48500000000000004,0.38,0.20500000000000002,0,0,0,0.32
1300,Independent chance,0.33,0.73,0,0.48500000000000004,0.38,0.20500000000000002,0,0,0,0.32
1400,Independent chance,0.33,0.73,0,0.48500000000000004,0.38,0.20500000000000002,0,0,0,0
1500,Independent chance,0.33,0.73,0,0.48500000000000004,0.38,0.20500000000000002,0,0,0,0
1600,Independent chance,0.33,0.73,0.52,0.48500000000000004,0.38,0.20500000000000002,0,0,0,0
1700,Independent chance,0.33,0.73,0.52,0.48500000000000004,0.38,0.20500000000000002,0,0,0,0
1800,Independent chance,0.33,0.73,0.52,0.48500000000000004,0.38,0.20500000000000002,0.105,0,0.29,0
1900,Independent chance,0.33,0,0.52,0,0.38,0,0.105,0,0.29,0
2000,Independent chance,0.33,0,0.52,0,0.38,0,0.105,0,0.29,0
2100,Independent chance,0.33,0,0.52,0,0.38,0,0.105,0,0.29,0
2200,Independent chance,0.33,0,0.52,0,0.38,0,0.105,0,0.29,0
2300,Independent chance,0.33,0,0.52,0,0.38,0,0.105,0,0.29,0
0,Independent chance,0.33,0,0.52,0,0.38,0,0.105,0,0.29,0
100,Independent chance,0.33,0,0.52,0,0.38,0,0.105,0,0.29,0