Time,0,143 Catfish,139 Salmon,132 Bream,153 Green Algae,706 Shad,702 Chub,699 Tiger Trout
600,Independent chance,0,0.46,0,0.36,0,0.51,0.26
700,Independent chance,0,0.46,0,0.36,0,0.51,0.26
800,Independent chance,0,0.46,0,0.36,0,0.51,0.26
900,Independent chance,0,0.46,0,0.36,0,0.51,0.26
1000,Independent chance,0,0.46,0,0.36,0,0.51,0.26
1100,Independent chance,0,0.46,0,0.36,0,0.51,0.26
1200,Independent chance,0,0.46,0,0.36,0,0.51,0.26
1300,Independent chance,0,0.46,0,0.36,0,0.51,0.26
1400,Independent chance,0,0.46,0,0.36,0,0.51,0.26
1500,Independent chance,0,0.46,0,0.36,0,0.51,0.26
1600,Independent chance,0,0.46,0,0.36,0,0.51,0.26
1700,Independent chance,0,0.46,0,0.36,0,0.51,0.26
1800,Independent chance,0,0.46,0.51,0.36,0,0.51,0.26
1900,Independent chance,0,0,0.51,0.36,0,0.51,0
2000,Independent chance,0,0,0.51,0.36,0,0.51,0
2100,Independent chance,0,0,0.51,0.36,0,0.51,0
2200,Independent chance,0,0,0.51,0.36,0,0.51,0
2300,Independent chance,0,0,0.51,0.36,0,0.51,0
0,Independent chance,0,0,0.51,0.36,0,0.51,0
100,Independent chance,0,0,0.51,0.36,0,0.51,0