Time,0,145 Sunfish,143 Catfish,132 Bream,153 Green Algae,706 Shad,702 Chub
0,Independent chance,0,0,0,0,0,0
100,Independent chance,0,0,0,0,0,0
200,Independent chance,0,0,0,0,0,0
300,Independent chance,0,0,0,0,0,0
400,Independent chance,0,0,0,0,0,0
500,Independent chance,0,0,0,0,0,0
600,Independent chance,0.55,0,0,0.4,0,0.55
700,Independent chance,0.55,0,0,0.4,0,0.55
800,Independent chance,0.55,0,0,0.4,0,0.55
900,Independent chance,0.55,0,0,0.4,0,0.55
1000,Independent chance,0.55,0,0,0.4,0,0.55
1100,Independent chance,0.55,0,0,0.4,0,0.55
1200,Independent chance,0.55,0,0,0.4,0,0.55
1300,Independent chance,0.55,0,0,0.4,0,0.55
1400,Independent chance,0.55,0,0,0.4,0,0.55
1500,Independent chance,0.55,0,0,0.4,0,0.55
1600,Independent chance,0.55,0,0,0.4,0,0.55
1700,Independent chance,0.55,0,0,0.4,0,0.55
1800,Independent chance,0.55,0,0.55,0.4,0,0.55
1900,Independent chance,0,0,0.55,0.4,0,0.55
2000,Independent chance,0,0,0.55,0.4,0,0.55
2100,Independent chance,0,0,0.55,0.4,0,0.55
2200,Independent chance,0,0,0.55,0.4,0,0.55
2300,Independent chance,0,0,0.55,0.4,0,0.55