Time,0,699 Tiger Trout,132 Bream,141 Perch,140 Walleye,143 Catfish,144 Pike,153 Green Algae,707 Lingcod,702 Chub
600,Independent chance,0.16,0,0.45,0,0.28,0.28,0.3,0.27,0.45
700,Independent chance,0.16,0,0.45,0,0.28,0.28,0.3,0.27,0.45
800,Independent chance,0.16,0,0.45,0,0.28,0.28,0.3,0.27,0.45
900,Independent chance,0.16,0,0.45,0,0.28,0.28,0.3,0.27,0.45
1000,Independent chance,0.16,0,0.45,0,0.28,0.28,0.3,0.27,0.45
1100,Independent chance,0.16,0,0.45,0,0.28,0.28,0.3,0.27,0.45
1200,Independent chance,0.16,0,0.45,0.34,0.28,0.28,0.3,0.27,0.45
1300,Independent chance,0.16,0,0.45,0.34,0.28,0.28,0.3,0.27,0.45
1400,Independent chance,0.16,0,0.45,0.34,0.28,0.28,0.3,0.27,0.45
1500,Independent chance,0.16,0,0.45,0.34,0.28,0.28,0.3,0.27,0.45
1600,Independent chance,0.16,0,0.45,0.34,0.28,0.28,0.3,0.27,0.45
1700,Independent chance,0.16,0,0.45,0.34,0.28,0.28,0.3,0.27,0.45
1800,Independent chance,0.16,0.45,0.45,0.34,0.28,0.28,0.3,0.27,0.45
1900,Independent chance,0,0.45,0.45,0.34,0.28,0.28,0.3,0.27,0.45
2000,Independent chance,0,0.45,0.45,0.34,0.28,0.28,0.3,0.27,0.45
2100,Independent chance,0,0.45,0.45,0.34,0.28,0.28,0.3,0.27,0.45
2200,Independent chance,0,0.45,0.45,0.34,0.28,0.28,0.3,0.27,0.45
2300,Independent chance,0,0.45,0.45,0.34,0.28,0.28,0.3,0.27,0.45
0,Independent chance,0,0.45,0.45,0.34,0,0.28,0.3,0.27,0.45
100,Independent chance,0,0.45,0.45,0.34,0,0.28,0.3,0.27,0.45