name,energy,health,price
Algae_Soup,75,33,100
Artichoke_Dip,100,45,210
Autumn's_Bounty,220,99,350
Baked_Fish,75,33,100
Banana_Pudding,125,56,260
Bean_Hotpot,125,56,100
Blackberry_Cobbler,175,78,260
Blueberry_Tart,125,56,150
Bread,50,22,60
Bruschetta,113,50,210
Carp_Surprise,90,40,150
Cheese_Cauliflower,138,62,300
Chocolate_Cake,150,67,200
Chowder,225,101,135
Coleslaw,213,95,345
Complete_Breakfast,200,90,350
Cookie,90,40,140
Crab_Cakes,225,101,275
Cranberry_Candy,125,56,175
Cranberry_Sauce,125,56,120
Crispy_Bass,90,40,150
Dish_O'_The_Sea,150,67,220
Eggplant_Parmesan,175,78,200
Escargot,225,101,125
Farmer's_Lunch,200,90,150
Fiddlehead_Risotto,225,101,350
Fish_Stew,225,101,175
Fish_Taco,165,74,500
Fried_Calamari,80,36,150
Fried_Eel,75,33,120
Fried_Egg,50,22,35
Fried_Mushroom,135,60,200
Fruit_Salad,263,118,450
Ginger_Ale,63,28,200
Glazed_Yams,200,90,200
Hashbrowns,90,40,120
Ice_Cream,100,45,120
Lobster_Bisque,225,101,205
Lucky_Lunch,100,45,250
Maki_Roll,100,45,220
Mango_Sticky_Rice,113,50,250
Maple_Bar,225,101,300
Miner's_Treat,125,56,200
Moss_Soup,70,31,80
Omelet,100,45,125
Pale_Broth,125,56,150
Pancakes,90,40,80
Parsnip_Soup,85,38,120
Pepper_Poppers,130,58,200
Pink_Cake,250,112,480
Pizza,150,67,300
Plum_Pudding,175,78,260
Poi,75,33,400
Poppyseed_Muffin,150,67,250
Pumpkin_Pie,225,101,385
Pumpkin_Soup,200,90,300
Radish_Salad,200,90,300
Red_Plate,240,108,400
Rhubarb_Pie,215,96,400
Rice_Pudding,115,51,260
Roasted_Hazelnuts,175,78,270
Roots_Platter,125,56,100
Salad,113,50,110
Salmon_Dinner,125,56,300
Sashimi,75,33,75
Seafoam_Pudding,175,78,300
Shrimp_Cocktail,225,101,160
Spaghetti,75,33,120
Spicy_Eel,115,51,175
Squid_Ink_Ravioli,125,56,150
Stir_Fry,200,90,335
Strange_Bun,100,45,225
Stuffing,170,76,165
Super_Meal,160,72,220
Survival_Burger,125,56,180
Tom_Kha_Soup,175,78,250
Tortilla,50,22,50
Triple_Shot_Espresso,8,3,450
Tropical_Curry,150,67,500
Trout_Soup,100,45,100
Vegetable_Medley,165,74,120